S1f, S1Zc,S1Z, S1Pc,S1P
8.00E+02,8.91E+03,2.29E+04,-1.55E+01,-4.75E+00
8.50E+02,8.82E+03,2.29E+04,-1.61E+01,-4.55E+00
9.00E+02,8.75E+03,2.29E+04,-1.67E+01,-4.37E+00
9.50E+02,8.67E+03,2.29E+04,-1.73E+01,-4.22E+00
1.00E+03,8.57E+03,2.29E+04,-1.78E+01,-4.08E+00
1.50E+03,7.88E+03,2.29E+04,-2.22E+01,-3.36E+00
2.00E+03,7.30E+03,2.28E+04,-2.53E+01,-3.19E+00
2.50E+03,6.81E+03,2.28E+04,-2.83E+01,-3.24E+00
3.00E+03,6.39E+03,2.28E+04,-3.03E+01,-3.40E+00
3.50E+03,6.03E+03,2.28E+04,-3.22E+01,-3.62E+00
4.00E+03,5.72E+03,2.28E+04,-3.36E+01,-3.88E+00
4.50E+03,5.45E+03,2.28E+04,-3.51E+01,-4.17E+00
5.00E+03,5.20E+03,2.28E+04,-3.61E+01,-4.48E+00
5.50E+03,4.98E+03,2.28E+04,-3.71E+01,-4.80E+00
6.00E+03,4.79E+03,2.28E+04,-3.79E+01,-5.13E+00
6.50E+03,4.61E+03,2.27E+04,-3.87E+01,-5.46E+00
7.00E+03,4.45E+03,2.27E+04,-3.93E+01,-5.81E+00
7.50E+03,4.30E+03,2.27E+04,-3.99E+01,-6.15E+00
8.00E+03,4.17E+03,2.27E+04,-4.05E+01,-6.50E+00
8.50E+03,4.04E+03,2.27E+04,-4.11E+01,-6.85E+00
9.00E+03,3.92E+03,2.27E+04,-4.15E+01,-7.21E+00
9.50E+03,3.82E+03,2.26E+04,-4.19E+01,-7.57E+00
1.00E+04,3.71E+03,2.26E+04,-4.23E+01,-7.92E+00
1.25E+04,3.28E+03,2.25E+04,-4.40E+01,-9.72E+00
1.50E+04,2.98E+03,2.24E+04,-4.48E+01,-1.15E+01
1.75E+04,2.72E+03,2.22E+04,-4.57E+01,-1.33E+01
2.00E+04,2.52E+03,2.20E+04,-4.61E+01,-1.51E+01
2.25E+04,2.35E+03,2.18E+04,-4.65E+01,-1.68E+01
2.50E+04,2.22E+03,2.16E+04,-4.67E+01,-1.85E+01
2.75E+04,2.09E+03,2.13E+04,-4.70E+01,-2.02E+01
3.00E+04,1.98E+03,2.11E+04,-4.70E+01,-2.18E+01
3.25E+04,1.89E+03,2.08E+04,-4.69E+01,-2.34E+01
3.50E+04,1.81E+03,2.06E+04,-4.69E+01,-2.49E+01
3.75E+04,1.73E+03,2.03E+04,-4.69E+01,-2.64E+01
4.00E+04,1.67E+03,2.00E+04,-4.67E+01,-2.79E+01
4.25E+04,1.61E+03,1.97E+04,-4.66E+01,-2.93E+01
4.50E+04,1.56E+03,1.94E+04,-4.64E+01,-3.07E+01
4.75E+04,1.51E+03,1.91E+04,-4.62E+01,-3.20E+01
5.00E+04,1.47E+03,1.88E+04,-4.60E+01,-3.33E+01
5.25E+04,1.42E+03,1.85E+04,-4.59E+01,-3.46E+01
5.50E+04,1.38E+03,1.82E+04,-4.57E+01,-3.58E+01
5.75E+04,1.35E+03,1.79E+04,-4.55E+01,-3.69E+01
6.00E+04,1.32E+03,1.76E+04,-4.53E+01,-3.80E+01
6.25E+04,1.28E+03,1.73E+04,-4.51E+01,-3.91E+01
6.50E+04,1.26E+03,1.70E+04,-4.48E+01,-4.02E+01
6.75E+04,1.23E+03,1.67E+04,-4.46E+01,-4.12E+01
7.00E+04,1.20E+03,1.64E+04,-4.43E+01,-4.21E+01
7.25E+04,1.18E+03,1.61E+04,-4.41E+01,-4.31E+01
7.50E+04,1.16E+03,1.59E+04,-4.39E+01,-4.40E+01
7.75E+04,1.14E+03,1.56E+04,-4.37E+01,-4.48E+01
8.00E+04,1.12E+03,1.53E+04,-4.35E+01,-4.57E+01
8.25E+04,1.10E+03,1.51E+04,-4.32E+01,-4.65E+01
8.50E+04,1.08E+03,1.48E+04,-4.30E+01,-4.72E+01
8.75E+04,1.06E+03,1.46E+04,-4.27E+01,-4.80E+01
9.00E+04,1.05E+03,1.43E+04,-4.25E+01,-4.87E+01
9.25E+04,1.03E+03,1.41E+04,-4.23E+01,-4.94E+01
9.50E+04,1.02E+03,1.39E+04,-4.21E+01,-5.01E+01
9.75E+04,1.00E+03,1.36E+04,-4.18E+01,-5.07E+01
1.00E+05,9.90E+02,1.34E+04,-4.16E+01,-5.13E+01
1.25E+05,8.76E+02,1.15E+04,-3.81E+01,-5.64E+01
1.50E+05,8.03E+02,9.95E+03,-3.71E+01,-6.00E+01
1.75E+05,7.50E+02,8.76E+03,-3.49E+01,-6.26E+01
2.00E+05,7.10E+02,7.81E+03,-3.32E+01,-6.45E+01
2.25E+05,6.78E+02,7.03E+03,-3.14E+01,-6.59E+01
2.50E+05,6.52E+02,6.40E+03,-2.99E+01,-6.68E+01
2.75E+05,6.32E+02,5.86E+03,-2.84E+01,-6.75E+01
3.00E+05,6.14E+02,5.41E+03,-2.72E+01,-6.80E+01
3.25E+05,6.00E+02,5.03E+03,-2.60E+01,-6.83E+01
3.50E+05,5.87E+02,4.69E+03,-2.50E+01,-6.85E+01
3.75E+05,5.76E+02,4.40E+03,-2.40E+01,-6.86E+01
4.00E+05,5.67E+02,4.14E+03,-2.31E+01,-6.86E+01
4.25E+05,5.58E+02,3.92E+03,-2.22E+01,-6.85E+01
4.50E+05,5.51E+02,3.71E+03,-2.15E+01,-6.83E+01
4.75E+05,5.44E+02,3.53E+03,-2.07E+01,-6.81E+01
5.00E+05,5.39E+02,3.37E+03,-2.01E+01,-6.79E+01
5.25E+05,5.34E+02,3.22E+03,-1.94E+01,-6.76E+01
5.50E+05,5.29E+02,3.09E+03,-1.89E+01,-6.73E+01
5.75E+05,5.24E+02,2.96E+03,-1.83E+01,-6.69E+01
6.00E+05,5.21E+02,2.85E+03,-1.78E+01,-6.66E+01
6.25E+05,5.17E+02,2.75E+03,-1.73E+01,-6.62E+01
6.50E+05,5.14E+02,2.65E+03,-1.68E+01,-6.58E+01
6.75E+05,5.11E+02,2.57E+03,-1.64E+01,-6.54E+01
7.00E+05,5.07E+02,2.49E+03,-1.60E+01,-6.50E+01
7.25E+05,5.05E+02,2.41E+03,-1.55E+01,-6.45E+01
7.50E+05,5.03E+02,2.34E+03,-1.52E+01,-6.41E+01
7.75E+05,5.01E+02,2.27E+03,-1.49E+01,-6.37E+01
8.00E+05,4.98E+02,2.21E+03,-1.45E+01,-6.32E+01
8.25E+05,4.96E+02,2.16E+03,-1.42E+01,-6.28E+01
8.50E+05,4.95E+02,2.10E+03,-1.39E+01,-6.23E+01
8.75E+05,4.93E+02,2.05E+03,-1.36E+01,-6.18E+01
9.00E+05,4.91E+02,2.00E+03,-1.33E+01,-6.14E+01
9.25E+05,4.89E+02,1.96E+03,-1.30E+01,-6.09E+01
9.50E+05,4.88E+02,1.92E+03,-1.28E+01,-6.04E+01
9.75E+05,4.87E+02,1.88E+03,-1.26E+01,-6.00E+01
1.00E+06,4.85E+02,1.84E+03,-1.23E+01,-5.95E+01
